id,NAME,MEDIAN_EARNINGS_IN_DOLLARS_POPULATION_16_YEARS_AND_OVER_WITH_EARNINGS
1400000US22071000100,"Census Tract 1, Orleans Parish, Louisiana",53925
1400000US22071000200,"Census Tract 2, Orleans Parish, Louisiana",26167
1400000US22071000300,"Census Tract 3, Orleans Parish, Louisiana",24815
1400000US22071000400,"Census Tract 4, Orleans Parish, Louisiana",24671
1400000US22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",12408
1400000US22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",23116
1400000US22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",24896
1400000US22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",23178
1400000US22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",32833
1400000US22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",34776
1400000US22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",38692
1400000US22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",29665
1400000US22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",55455
1400000US22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",22987
1400000US22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",31101
1400000US22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",43712
1400000US22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",30430
1400000US22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",50206
1400000US22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",30764
1400000US22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",20575
1400000US22071000800,"Census Tract 8, Orleans Parish, Louisiana",26276
1400000US22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",27802
1400000US22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",22292
1400000US22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",16724
1400000US22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",21786
1400000US22071001100,"Census Tract 11, Orleans Parish, Louisiana",30053
1400000US22071001200,"Census Tract 12, Orleans Parish, Louisiana",41838
1400000US22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",27342
1400000US22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",28454
1400000US22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",22198
1400000US22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",23418
1400000US22071001500,"Census Tract 15, Orleans Parish, Louisiana",26818
1400000US22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",25943
1400000US22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",16522
1400000US22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",22993
1400000US22071001722,"Census Tract 17.22, Orleans Parish, Louisiana",21633
1400000US22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",29043
1400000US22071001724,"Census Tract 17.24, Orleans Parish, Louisiana",30752
1400000US22071001725,"Census Tract 17.25, Orleans Parish, Louisiana",27058
1400000US22071001730,"Census Tract 17.30, Orleans Parish, Louisiana",28295
1400000US22071001734,"Census Tract 17.34, Orleans Parish, Louisiana",44514
1400000US22071001735,"Census Tract 17.35, Orleans Parish, Louisiana",24040
1400000US22071001736,"Census Tract 17.36, Orleans Parish, Louisiana",21610
1400000US22071001737,"Census Tract 17.37, Orleans Parish, Louisiana",21230
1400000US22071001739,"Census Tract 17.39, Orleans Parish, Louisiana",27679
1400000US22071001740,"Census Tract 17.40, Orleans Parish, Louisiana",29576
1400000US22071001741,"Census Tract 17.41, Orleans Parish, Louisiana",20581
1400000US22071001743,"Census Tract 17.43, Orleans Parish, Louisiana",27773
1400000US22071001744,"Census Tract 17.44, Orleans Parish, Louisiana",21081
1400000US22071001745,"Census Tract 17.45, Orleans Parish, Louisiana",24261
1400000US22071001746,"Census Tract 17.46, Orleans Parish, Louisiana",25854
1400000US22071001747,"Census Tract 17.47, Orleans Parish, Louisiana",48356
1400000US22071001748,"Census Tract 17.48, Orleans Parish, Louisiana",34813
1400000US22071001749,"Census Tract 17.49, Orleans Parish, Louisiana",29295
1400000US22071001750,"Census Tract 17.50, Orleans Parish, Louisiana",26090
1400000US22071001751,"Census Tract 17.51, Orleans Parish, Louisiana",10703
1400000US22071001800,"Census Tract 18, Orleans Parish, Louisiana",33583
1400000US22071001900,"Census Tract 19, Orleans Parish, Louisiana",24583
1400000US22071002000,"Census Tract 20, Orleans Parish, Louisiana",25667
1400000US22071002100,"Census Tract 21, Orleans Parish, Louisiana",24677
1400000US22071002200,"Census Tract 22, Orleans Parish, Louisiana",19663
1400000US22071002300,"Census Tract 23, Orleans Parish, Louisiana",33162
1400000US22071002401,"Census Tract 24.01, Orleans Parish, Louisiana",32156
1400000US22071002402,"Census Tract 24.02, Orleans Parish, Louisiana",27471
1400000US22071002501,"Census Tract 25.01, Orleans Parish, Louisiana",25864
1400000US22071002502,"Census Tract 25.02, Orleans Parish, Louisiana",29170
1400000US22071002503,"Census Tract 25.03, Orleans Parish, Louisiana",39032
1400000US22071002504,"Census Tract 25.04, Orleans Parish, Louisiana",33750
1400000US22071002600,"Census Tract 26, Orleans Parish, Louisiana",40669
1400000US22071002700,"Census Tract 27, Orleans Parish, Louisiana",21607
1400000US22071002800,"Census Tract 28, Orleans Parish, Louisiana",17200
1400000US22071002900,"Census Tract 29, Orleans Parish, Louisiana",22031
1400000US22071003000,"Census Tract 30, Orleans Parish, Louisiana",27297
1400000US22071003100,"Census Tract 31, Orleans Parish, Louisiana",25446
1400000US22071003301,"Census Tract 33.01, Orleans Parish, Louisiana",50467
1400000US22071003302,"Census Tract 33.02, Orleans Parish, Louisiana",40981
1400000US22071003303,"Census Tract 33.03, Orleans Parish, Louisiana",27662
1400000US22071003304,"Census Tract 33.04, Orleans Parish, Louisiana",29511
1400000US22071003307,"Census Tract 33.07, Orleans Parish, Louisiana",23118
1400000US22071003308,"Census Tract 33.08, Orleans Parish, Louisiana",20185
1400000US22071003400,"Census Tract 34, Orleans Parish, Louisiana",24688
1400000US22071003500,"Census Tract 35, Orleans Parish, Louisiana",25938
1400000US22071003600,"Census Tract 36, Orleans Parish, Louisiana",31667
1400000US22071003701,"Census Tract 37.01, Orleans Parish, Louisiana",29411
1400000US22071003702,"Census Tract 37.02, Orleans Parish, Louisiana",37141
1400000US22071003800,"Census Tract 38, Orleans Parish, Louisiana",52485
1400000US22071003900,"Census Tract 39, Orleans Parish, Louisiana",26250
1400000US22071004000,"Census Tract 40, Orleans Parish, Louisiana",28427
1400000US22071004100,"Census Tract 41, Orleans Parish, Louisiana",50321
1400000US22071004401,"Census Tract 44.01, Orleans Parish, Louisiana",25278
1400000US22071004500,"Census Tract 45, Orleans Parish, Louisiana",39655
1400000US22071004600,"Census Tract 46, Orleans Parish, Louisiana",43323
1400000US22071004900,"Census Tract 49, Orleans Parish, Louisiana",21488
1400000US22071005000,"Census Tract 50, Orleans Parish, Louisiana",23796
1400000US22071005400,"Census Tract 54, Orleans Parish, Louisiana",45518
1400000US22071005500,"Census Tract 55, Orleans Parish, Louisiana",45145
1400000US22071005601,"Census Tract 56.01, Orleans Parish, Louisiana",58030
1400000US22071005602,"Census Tract 56.02, Orleans Parish, Louisiana",54531
1400000US22071005603,"Census Tract 56.03, Orleans Parish, Louisiana",53596
1400000US22071005604,"Census Tract 56.04, Orleans Parish, Louisiana",51926
1400000US22071006000,"Census Tract 60, Orleans Parish, Louisiana",20779
1400000US22071006300,"Census Tract 63, Orleans Parish, Louisiana",32745
1400000US22071006400,"Census Tract 64, Orleans Parish, Louisiana",40545
1400000US22071006500,"Census Tract 65, Orleans Parish, Louisiana",35885
1400000US22071006900,"Census Tract 69, Orleans Parish, Louisiana",16500
1400000US22071007000,"Census Tract 70, Orleans Parish, Louisiana",3926
1400000US22071007101,"Census Tract 71.01, Orleans Parish, Louisiana",38708
1400000US22071007200,"Census Tract 72, Orleans Parish, Louisiana",20423
1400000US22071007501,"Census Tract 75.01, Orleans Parish, Louisiana",19819
1400000US22071007502,"Census Tract 75.02, Orleans Parish, Louisiana",30499
1400000US22071007604,"Census Tract 76.04, Orleans Parish, Louisiana",86600
1400000US22071007605,"Census Tract 76.05, Orleans Parish, Louisiana",21429
1400000US22071007606,"Census Tract 76.06, Orleans Parish, Louisiana",46516
1400000US22071007700,"Census Tract 77, Orleans Parish, Louisiana",53602
1400000US22071007800,"Census Tract 78, Orleans Parish, Louisiana",41321
1400000US22071008200,"Census Tract 82, Orleans Parish, Louisiana",36250
1400000US22071008300,"Census Tract 83, Orleans Parish, Louisiana",55385
1400000US22071008400,"Census Tract 84, Orleans Parish, Louisiana",38097
1400000US22071008500,"Census Tract 85, Orleans Parish, Louisiana",23063
1400000US22071008600,"Census Tract 86, Orleans Parish, Louisiana",17602
1400000US22071008800,"Census Tract 88, Orleans Parish, Louisiana",45094
1400000US22071009000,"Census Tract 90, Orleans Parish, Louisiana",54676
1400000US22071009100,"Census Tract 91, Orleans Parish, Louisiana",33164
1400000US22071009200,"Census Tract 92, Orleans Parish, Louisiana",16917
1400000US22071009400,"Census Tract 94, Orleans Parish, Louisiana",13214
1400000US22071009600,"Census Tract 96, Orleans Parish, Louisiana",35901
1400000US22071009700,"Census Tract 97, Orleans Parish, Louisiana",46540
1400000US22071009900,"Census Tract 99, Orleans Parish, Louisiana",45763
1400000US22071010000,"Census Tract 100, Orleans Parish, Louisiana",23194
1400000US22071010100,"Census Tract 101, Orleans Parish, Louisiana",45957
1400000US22071010200,"Census Tract 102, Orleans Parish, Louisiana",31773
1400000US22071010300,"Census Tract 103, Orleans Parish, Louisiana",26074
1400000US22071010600,"Census Tract 106, Orleans Parish, Louisiana",46471
1400000US22071010700,"Census Tract 107, Orleans Parish, Louisiana",43913
1400000US22071010800,"Census Tract 108, Orleans Parish, Louisiana",62731
1400000US22071010900,"Census Tract 109, Orleans Parish, Louisiana",55485
1400000US22071011100,"Census Tract 111, Orleans Parish, Louisiana",35365
1400000US22071011200,"Census Tract 112, Orleans Parish, Louisiana",40000
1400000US22071011400,"Census Tract 114, Orleans Parish, Louisiana",61857
1400000US22071011500,"Census Tract 115, Orleans Parish, Louisiana",65284
1400000US22071011600,"Census Tract 116, Orleans Parish, Louisiana",100069
1400000US22071011700,"Census Tract 117, Orleans Parish, Louisiana",48333
1400000US22071011900,"Census Tract 119, Orleans Parish, Louisiana",36453
1400000US22071012000,"Census Tract 120, Orleans Parish, Louisiana",46000
1400000US22071012101,"Census Tract 121.01, Orleans Parish, Louisiana",11033
1400000US22071012102,"Census Tract 121.02, Orleans Parish, Louisiana",4571
1400000US22071012200,"Census Tract 122, Orleans Parish, Louisiana",51366
1400000US22071012300,"Census Tract 123, Orleans Parish, Louisiana",32485
1400000US22071012400,"Census Tract 124, Orleans Parish, Louisiana",41154
1400000US22071012500,"Census Tract 125, Orleans Parish, Louisiana",50253
1400000US22071012600,"Census Tract 126, Orleans Parish, Louisiana",47765
1400000US22071012700,"Census Tract 127, Orleans Parish, Louisiana",43333
1400000US22071012800,"Census Tract 128, Orleans Parish, Louisiana",45600
1400000US22071012900,"Census Tract 129, Orleans Parish, Louisiana",31797
1400000US22071013000,"Census Tract 130, Orleans Parish, Louisiana",25759
1400000US22071013100,"Census Tract 131, Orleans Parish, Louisiana",28347
1400000US22071013200,"Census Tract 132, Orleans Parish, Louisiana",22105
1400000US22071013301,"Census Tract 133.01, Orleans Parish, Louisiana",56215
1400000US22071013302,"Census Tract 133.02, Orleans Parish, Louisiana",47391
1400000US22071013400,"Census Tract 134, Orleans Parish, Louisiana",54145
1400000US22071013500,"Census Tract 135, Orleans Parish, Louisiana",41938
1400000US22071013600,"Census Tract 136, Orleans Parish, Louisiana",35463
1400000US22071013700,"Census Tract 137, Orleans Parish, Louisiana",14583
1400000US22071013800,"Census Tract 138, Orleans Parish, Louisiana",24225
1400000US22071013900,"Census Tract 139, Orleans Parish, Louisiana",33523
1400000US22071014000,"Census Tract 140, Orleans Parish, Louisiana",14744
1400000US22071014100,"Census Tract 141, Orleans Parish, Louisiana",21985
1400000US22071014200,"Census Tract 142, Orleans Parish, Louisiana",47031
1400000US22071014300,"Census Tract 143, Orleans Parish, Louisiana",18281
1400000US22071014400,"Census Tract 144, Orleans Parish, Louisiana",41714